id,stage,fixture,valid,invalid_reason,epoch_et,duration_h,k_srp,shadow_model,stations,inc_deg,raan_deg,ecc,period_s,revolutions,beta_start_deg,beta_mid_deg,beta_end_deg,earth_view_start_deg,earth_view_mid_deg,earth_view_end_deg,alt_mean_km,alt_min_km,alt_max_km,sunlit_fraction,eclipse_fraction,penumbra_fraction,mean_illumination,eclipse_entries,eclipse_exits,n_eclipses,mean_eclipse_duration_s,min_eclipse_duration_s,max_eclipse_duration_s,srp_rtn_share_R,srp_rtn_share_T,srp_rtn_share_N,s_k_pos_norm_end_m,s_k_pos_norm_max_m,n_passes,mean_pass_samples,runtime_s,role,full_n_obs,full_k_column_norm,full_f_perp,full_theta_k_deg,full_raw_k_information,full_conditional_k_information,full_sigma_k,full_sigma_k_frac,full_smallest_design_sv,full_design_condition,full_weakest_mode_k_component,full_max_abs_k_state_correlation,full_rank_margin,matched_n_obs,matched_stage_n_match,matched_f_perp,matched_theta_k_deg,matched_conditional_k_information,matched_sigma_k,matched_sigma_k_frac,matched_k_column_norm,matched_max_abs_k_state_correlation,matched_weakest_mode_k_component,matched_smallest_design_sv,delta_f_perp_full,class_full,delta_f_perp_matched_vs_ref_full,class_matched,beta_target,altitude_nominal_km,normalization,inc_target,partner,counterfactual_of
G0_published,G0,PUBLISHED_R1M,True,,857806356.99998,29.44774902358768,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,26.711475080149885,43.38394933974347,0.005335932778822172,7068.44945145109,14.99789978170564,21.814121535332376,21.466230888726496,21.108453699180377,113.0951353826364,110.82619040430777,108.10613628399042,99.85671641518124,89.86739316749899,109.81275486164913,0.6115351993214588,0.38761662425784565,0.002544529262086514,0.6120111884904684,15,15,16,2570.625,1260.0,2790.0,0.33493331506145596,0.4259388925777978,0.23912779236074622,2427.4652566170776,2435.856612216929,19,41.1578947368421,32.99596118927002,exact reproduction of the published W15 baseline,782,4274.174309160833,0.2522919965229832,14.613182283011557,18268566.025090486,1162817.0907819087,0.0009273513250655349,0.09273513250655349,10.783399664243646,96567782.6189659,0.9999999967347587,0.33736529092907436,6662381.157463631,782,782,0.2522919965229832,14.613182283011557,1162817.0907819087,0.0009273513250655349,0.09273513250655349,4274.174309160833,0.33736529092907436,0.9999999967347587,10.783399664243646,0.160784441949873,MARGINAL_DIRECTION_CHANGE_GAIN,0.160784441949873,MARGINAL_DIRECTION_CHANGE_GAIN,,,,,,
G0_consistent,G0,CONSISTENT,True,,857806356.99998,29.44774902358768,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,26.711475080149885,43.38394933974347,0.005335932778822172,7068.44945145109,14.99789978170564,21.814121535332376,21.466230888726496,21.108453699180377,113.0951353826364,110.82619040430777,108.10613628399042,99.85671641518124,89.86739316749899,109.81275486164913,0.6115351993214588,0.38761662425784565,0.002544529262086514,0.6120111884904684,15,15,16,2570.625,1260.0,2790.0,0.33493331506145596,0.4259388925777978,0.23912779236074622,2427.4652566170776,2435.856612216929,25,38.4,33.843058347702026,"same orbit, epoch-consistent fixture = f_ref",960,4302.023784934325,0.09150755457311016,5.250341535432847,18507408.646140654,154974.2393435186,0.0025402136377136,0.25402136377136003,3.9366767622729726,291591736.0713757,0.9999999998796024,0.6458187491531462,2206411.5533821504,782,782,0.09269366124224986,5.318590523979167,129213.3521854913,0.002781930674650618,0.2781930674650618,3877.9629933896563,0.6427611250893873,0.9999999998817395,3.5946258797672206,0.0,MAGNITUDE_ONLY,0.0011861066691396943,MAGNITUDE_ONLY,,,,,,
G1_b00,G1,CONSISTENT,True,,857806356.99998,29.44774902358768,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,90.0,167.608417759,2.296437307895594e-16,7068.449451451094,14.99789978170563,-3.945735557337143e-10,0.5951684921745102,1.190636400241618,94.84791481905881,102.63053932116978,110.49068074375258,99.9210846991864,99.7929038020738,100.17155774921109,0.6039016115351993,0.39525021204410515,0.0016963528413910093,0.604854454800651,15,15,16,2621.25,1440.0,2790.0,0.4396943149271492,0.5520607773542593,0.00824490771859147,2212.9961855211004,2212.9961855211004,25,38.2,34.393078088760376,,955,3520.2658751190515,0.07841831335514571,4.4976561205284735,12392271.831527703,76205.43133588006,0.003622488681571655,0.3622488681571655,2.7605331248492937,418037372.8406185,0.9999999999870195,0.7307272453765661,1539028.3671693034,955,955,0.07841831335514571,4.4976561205284735,76205.43133588006,0.003622488681571655,0.3622488681571655,3520.2658751190515,0.7307272453765661,0.9999999999870195,2.7605331248492937,-0.013089241217964454,MAGNITUDE_ONLY,-0.013089241217964454,MAGNITUDE_ONLY,0,,,,,
G1_b20,G1,CONSISTENT,True,,857806356.99998,29.44774902358768,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,90.0,7.608417816000001,3.3766252644563744e-16,7068.449451451084,14.997899781705652,19.99999999979373,19.40483057924385,18.809363202188162,105.1276476955742,97.33433993973239,89.46123709776415,99.92134529214248,99.78993929723627,100.17152850696515,0.6115351993214588,0.38761662425784565,0.0016963528413910093,0.612673167066618,15,15,15,2742.0,2700.0,2790.0,0.34491300357361154,0.43537370071304476,0.21971329571334366,1998.3812822120342,1998.3812822120342,22,43.45454545454545,34.08848762512207,,956,2514.3033902231577,0.10563837829087859,6.063947500927083,6321721.538087665,70547.04268472051,0.0037649619681642188,0.3764961968164219,2.6560693266621866,452893573.23490125,0.9999999999690675,0.4786319554011142,1420579.609340021,955,955,0.10572371870462459,6.0688646822881305,70543.81138711613,0.0037650481952410716,0.37650481952410714,2512.216303046715,0.4786651650746287,0.9999999999690865,2.6560084974026674,0.014130823717768429,MAGNITUDE_ONLY,0.014216164131514428,MAGNITUDE_ONLY,20,,,,,
G1_b40,G1,CONSISTENT,True,,857806356.99998,29.44774902358768,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,90.0,27.608417891000002,3.0246358312001146e-18,7068.449451451092,14.997899781705636,39.99999999960115,39.40482963128945,38.80936286494236,125.09788122514078,117.29577096283033,109.41348257965916,99.92132690978441,99.79052019767603,100.1715285069649,0.6378286683630195,0.361323155216285,0.0016963528413910093,0.638824061029632,15,15,15,2556.0,2520.0,2610.0,0.2630928255797425,0.34092186990104617,0.39598530451921143,1719.0902193910472,1719.0902193910472,22,44.36363636363637,34.037349700927734,,976,1933.1125603973528,0.11201617193457597,6.431552132242813,3736924.171166009,46889.51483810905,0.00461808721378298,0.461808721378298,2.1653986892643156,517900235.05273145,0.9999999999633963,0.4215729935270725,1242268.9386752949,955,955,0.11266073744324072,6.46871827783244,46187.34145454551,0.004653058551866356,0.46530585518663564,1907.6069358353352,0.4228057159594185,0.9999999999612589,2.1491240413472883,0.02050861736146581,MARGINAL_DIRECTION_CHANGE_GAIN,0.021153182870130557,MARGINAL_DIRECTION_CHANGE_GAIN,40,,,,,
G1_b55,G1,CONSISTENT,True,,857806356.99998,29.44774902358768,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,90.0,42.60841798500001,3.1607060469762993e-16,7068.449451451087,14.997899781705645,55.000000000380105,54.40482886211575,53.80936261411002,140.0639928837215,132.2566460669473,124.36969187418067,99.9213063648357,99.79116768955626,100.1715285069649,0.6870229007633588,0.3104325699745547,0.004240882103477523,0.6895693035989711,15,15,15,2196.0,2160.0,2250.0,0.2037882055242663,0.27056145307172075,0.5256503414040129,1408.0755697706281,1408.0755697706281,22,46.18181818181818,34.61768388748169,,1016,1288.4905875537581,0.12588423057546094,7.231821837129112,1660207.9942146288,26309.049633513583,0.006165203550770304,0.6165203550770304,1.6220064621438397,605174194.3222874,0.9999999999781576,0.4157188994318534,1063117.6632690534,955,955,0.1259010847265596,7.232795253482016,24686.983504715856,0.006364524850910091,0.6364524850910092,1247.97113822342,0.41821247728415806,0.9999999999769825,1.571209200061475,0.03437667600235078,MARGINAL_DIRECTION_CHANGE_GAIN,0.034393530153449425,MARGINAL_DIRECTION_CHANGE_GAIN,55,,,,,
G1_b65,G1,CONSISTENT,True,,857806356.99998,29.44774902358768,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,90.0,52.608418097999994,2.4836055293058524e-16,7068.449451451092,14.997899781705636,65.00000000001125,64.40482820381484,63.80936245895831,150.02672930336286,142.21854735570008,134.3309354324176,99.92129015176339,99.79166876668623,100.17152850696468,0.7667514843087362,0.22815945716709077,0.010178117048346057,0.7715163146315318,15,15,15,1614.0,1530.0,1710.0,0.1644188677902534,0.2149015415173849,0.6206795906923617,1165.607951304551,1165.607951304551,22,48.54545454545455,35.1403751373291,,1068,883.65580520049,0.13913906128139933,7.99803050782458,780847.5820645264,15116.958048094846,0.008133318809266028,0.8133318809266028,1.2295103922999746,696929216.4731022,0.9999999999881433,0.4022665396745047,923151.677575671,955,955,0.13942137426806156,8.014365063292622,13589.479179251717,0.008578247921450097,0.8578247921450097,836.1266135483039,0.4037748782731259,0.9999999999877877,1.1657392152158084,0.04763150670828917,MARGINAL_DIRECTION_CHANGE_GAIN,0.0479138196949514,MARGINAL_DIRECTION_CHANGE_GAIN,65,,,,,
G1_b69,G1,CONSISTENT,True,,857806356.99998,29.44774902358768,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,90.0,56.608418171,1.9862125067983028e-17,7068.449451451092,14.997899781705636,69.00000000012088,68.40482786114535,67.80936244666287,154.00478816398507,146.19817383033123,138.31160456338202,99.9212835053021,99.79186419171282,100.17152850696515,0.8379983036471587,0.15436810856658184,0.016963528413910092,0.845262900394268,15,15,15,1092.0,990.0,1170.0,0.15082392606608394,0.18642557970000762,0.6627504942339084,1069.566219905172,1069.566219905172,22,50.27272727272727,35.376145362854004,,1106,789.4426371718085,0.13679244028705265,7.862280821244758,623219.6773847798,11661.793622311849,0.00926013513039432,0.9260135130394319,1.0798978480426384,741994036.3785055,0.9999999999896858,0.4128702573417542,867084.2942064378,955,955,0.13670335774154255,7.8571283645674335,10065.833052939295,0.009967245111668995,0.9967245111668994,733.9148573180642,0.41765478323890703,0.9999999999890051,1.0032862529068045,0.045284885713942485,MARGINAL_DIRECTION_CHANGE_GAIN,0.045195803168432386,MARGINAL_DIRECTION_CHANGE_GAIN,69,,,,,
G1_b71,G1,CONSISTENT,True,,857806356.99998,29.44774902358768,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,90.0,58.608418218,1.137499246969409e-16,7068.449451451092,14.997899781705636,70.99999999978274,70.40482768335869,69.80936254275022,155.99130132367554,148.18632260975406,140.30077037532683,99.92128102787217,99.79192191707087,100.17152850696515,0.9067005937234945,0.07548770144189991,0.04240882103477523,0.9264572857429534,15,15,15,534.0,180.0,720.0,0.14670529493417517,0.16744275224493224,0.6858519528208926,1039.1842339220652,1039.1842339220652,22,51.18181818181818,35.00787568092346,,1126,827.791556960411,0.1227205163572889,7.049137454743377,685238.8617749413,10319.920053467673,0.009843778515730879,0.9843778515730879,1.0158700730481955,759951844.4938892,0.9999999999845783,0.4768631129215946,846594.9257181064,955,955,0.12276337027734381,7.05161151077501,8783.751082018216,0.010669891175338845,1.0669891175338844,763.4334895226945,0.47915889022702696,0.9999999999841909,0.9372166815491761,0.031212961784178733,MARGINAL_DIRECTION_CHANGE_GAIN,0.03125581570423365,MARGINAL_DIRECTION_CHANGE_GAIN,71,,,,,
G1_b73,G1,CONSISTENT,True,,857806356.99998,29.44774902358768,0.01,CONICAL_PENUMBRA,Goldstone DSN;Madrid DSN;Canberra DSN,90.0,60.608418276,1.1545089258668886e-16,7068.449451451092,14.997899781705636,72.99999999975908,72.40482756680157,71.80936257345644,157.97552898662377,150.17306271074588,142.28898750472126,99.9212771811151,99.79203576969914,100.1715285069649,1.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.14389875112594375,0.14369688047536328,0.7124043683986929,984.6690384467641,984.6690384467641,22,52.45454545454545,33.33782887458801,,1154,828.3321861536748,0.11491045089729948,6.598460022445574,686134.2106181262,9059.998615898245,0.010505964629689748,1.0505964629689748,0.9518402500258117,779479488.2872115,0.9999999999886224,0.45032394052114355,825385.8953394062,955,955,0.11489382877575151,6.597501295207257,7501.988814361074,0.011545474698201797,1.1545474698201796,753.8613950402042,0.45458227202165075,0.9999999999883699,0.8661402204139078,0.02340289632418932,MARGINAL_DIRECTION_CHANGE_GAIN,0.023386274202641347,MARGINAL_DIRECTION_CHANGE_GAIN,73,,,,,
