id,stage,n_obs,f_perp_full,matched_n_obs,f_perp_matched,sigma_k_frac_full,sigma_k_frac_matched,class_full,class_matched
G0_published,G0,782,0.2522919965229832,782,0.2522919965229832,0.09273513250655349,0.09273513250655349,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G0_consistent,G0,960,0.09150755457311016,782,0.09269366124224986,0.25402136377136003,0.2781930674650618,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G1_b00,G1,955,0.07841831335514571,955,0.07841831335514571,0.3622488681571655,0.3622488681571655,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G1_b20,G1,956,0.10563837829087859,955,0.10572371870462459,0.3764961968164219,0.37650481952410714,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G1_b40,G1,976,0.11201617193457597,955,0.11266073744324072,0.461808721378298,0.46530585518663564,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G1_b55,G1,1016,0.12588423057546094,955,0.1259010847265596,0.6165203550770304,0.6364524850910092,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G1_b65,G1,1068,0.13913906128139933,955,0.13942137426806156,0.8133318809266028,0.8578247921450097,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G1_b69,G1,1106,0.13679244028705265,955,0.13670335774154255,0.9260135130394319,0.9967245111668994,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G1_b71,G1,1126,0.1227205163572889,955,0.12276337027734381,0.9843778515730879,1.0669891175338844,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G1_b73,G1,1154,0.11491045089729948,955,0.11489382877575151,1.0505964629689748,1.1545474698201796,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G1_b80,G1,1339,0.11416101724261833,955,0.1141272865437677,2.0059204944057236,2.3733146910700715,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G1_b88,G1,1511,0.1394494024468479,955,0.13965635565341128,7.611638363105957,9.561277269290288,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G2_alt30_b20_fixD,G2,866,0.1019423793909427,784,0.1018156246619931,0.525672392500094,0.5533063610587226,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G2_alt30_b20_fixN,G2,784,0.10333098575372138,784,0.10333098575372138,0.5963923035412825,0.5963923035412825,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G2_alt30_b85_fixD,G2,1134,0.10367587771941553,784,0.1036238072652389,5.933986934432548,7.117549266167377,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G2_alt50_b20_fixD,G2,901,0.1055354317670922,784,0.10533408780902472,0.4733322738101663,0.5084651803773294,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G2_alt50_b20_fixN,G2,837,0.10392114445648325,784,0.1039723708050245,0.513722874731157,0.5298442747005809,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G2_alt50_b85_fixD,G2,1275,0.11206246822469398,784,0.1116056794935591,5.372231273612247,6.874952390268452,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G2_alt100_b20_fixD,G2,956,0.10563837829087859,784,0.10535076446273275,0.3764961968164219,0.41676460402788423,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G2_alt100_b20_fixN,G2,956,0.10563837829087859,784,0.10535076446273275,0.3764961968164219,0.41676460402788423,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G2_alt100_b85_fixD,G2,1452,0.10575913130660218,784,0.10563730795764913,4.662115271397003,6.346930465020062,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G2_alt200_b20_fixD,G2,1037,0.10820632364277422,784,0.10807392419707731,0.28285941485318705,0.32584507892194636,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G2_alt200_b20_fixN,G2,1126,0.10839941828111917,784,0.10830007878093335,0.2556256065789233,0.3064672059119792,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G2_alt200_b85_fixD,G2,1574,0.10515517589510211,784,0.10645425209038037,4.094521875176722,5.712252887044694,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G2_alt500_b20_fixD,G2,1110,0.11646853222945266,784,0.11653319704823616,0.17541397196703223,0.20852303661853294,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G2_alt500_b20_fixN,G2,1472,0.11486457735093344,784,0.11515106631011347,0.12040776763477493,0.16445810186938073,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G2_alt500_b85_fixD,G2,1572,0.10953435386625819,784,0.10850682136683908,3.1675021826984042,4.48673037470266,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G2_alt1000_b20_fixD,G2,1219,0.11545699583335892,784,0.1153547702933537,0.10732023534243337,0.13394095613228443,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G2_alt1000_b20_fixN,G2,2218,0.12061262212265378,784,0.12092893598445242,0.044224124146711716,0.07417714421997887,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G2_alt1000_b85_fixD,G2,1572,0.11354299881507408,784,0.11330082601906327,2.071727152243754,2.910796513338041,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G3_i26.7_b00,G3,950,0.09184799131605781,950,0.09184799131605781,0.2867880472448347,0.2867880472448347,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G3_i26.7_bcan,G3,957,0.2814020725638323,950,0.28180449024000565,0.2831759439942408,0.2842376167473916,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G3_i45.0_b00,G3,953,0.0832588608311318,950,0.08318282155757602,0.32556470088880246,0.3259682062133683,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G3_i45.0_bcan,G3,960,0.15558869595792532,950,0.15564413032121968,0.27959562120855025,0.28015488724657256,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G3_i60.0_b00,G3,954,0.07659416757539847,950,0.07665752311424319,0.36204643451267965,0.36292135226584293,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G3_i60.0_bcan,G3,959,0.13480379626881542,950,0.1349038180396552,0.29876481011670597,0.29944769039903635,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G3_i90.0_b00,G3,955,0.07841831335514571,950,0.07806445456259872,0.3622488681571655,0.3640759279074248,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G3_i90.0_bcan,G3,957,0.1057076789117568,950,0.1056000389624401,0.380526989369249,0.38229690471935934,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G3_i120.0_b00,G3,955,0.09795555303210074,950,0.09764118462238419,0.28617365689305974,0.28750785615789787,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G3_i120.0_bcan,G3,955,0.11362693676542097,950,0.1139313345753754,0.38304241372849396,0.38448618377847055,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
G3_i150.0_b00,G3,952,0.10947021208766938,950,0.10950683732126479,0.2510740507065272,0.2512168647808941,MAGNITUDE_ONLY,MAGNITUDE_ONLY
G3_i150.0_bcan,G3,956,0.25017726490566217,950,0.24967048107806492,0.3056096786430721,0.3078192694077053,MARGINAL_DIRECTION_CHANGE_GAIN,MARGINAL_DIRECTION_CHANGE_GAIN
