file,line,helper,kind,function,in_k_branch,classification,r1cov_may_modify,source
lunar_od/estimators.py,241,_safe_covariance_from_information,CALL,estimate_position_srif,False,DEFAULT_6STATE_ESTIMATOR,False,posterior_covariance = _safe_covariance_from_information(posterior_information)
lunar_od/estimators.py,468,_safe_covariance_from_information,CALL,estimate_range_rate_srif,False,DEFAULT_6STATE_ESTIMATOR,False,posterior_covariance = _safe_covariance_from_information(posterior_information)
lunar_od/estimators.py,660,_safe_covariance_from_information,CALL,estimate_position_bls_lm,False,DEFAULT_6STATE_ESTIMATOR,False,posterior_covariance = _safe_covariance_from_information(posterior_information)
lunar_od/estimators.py,860,_safe_covariance_from_information,CALL,estimate_range_rate_bls_lm,False,DEFAULT_6STATE_ESTIMATOR,False,posterior_covariance = _safe_covariance_from_information(posterior_information)
lunar_od/estimators.py,926,_sqrt_information_from_information,CALL,_prior_information_and_scale,False,DEFAULT_6STATE_ESTIMATOR,False,prior_sqrt_info = _sqrt_information_from_information(prior_inv)
lunar_od/estimators.py,1381,_sqrt_information_from_information,DEFINITION,_sqrt_information_from_information,False,DEFAULT_6STATE_ESTIMATOR,False,def _sqrt_information_from_information(information: np.ndarray) -> np.ndarray:
lunar_od/estimators.py,1405,_safe_covariance_from_information,DEFINITION,_safe_covariance_from_information,False,DEFAULT_6STATE_ESTIMATOR,False,def _safe_covariance_from_information(information: np.ndarray) -> np.ndarray:
lunar_od/estimators.py,2250,_safe_covariance_from_information,COMMENT,estimate_two_way_range_bls_lm,False,DEFAULT_6STATE_ESTIMATOR,False,# _safe_covariance_from_information (max_eig * 1e-14 exceeds a
lunar_od/estimators.py,2258,_safe_covariance_from_information,CALL,estimate_two_way_range_bls_lm,True,K_AUGMENTED_BLS,True,cov_scaled = _safe_covariance_from_information(info_scaled)
lunar_od/estimators.py,2277,_safe_covariance_from_information,CALL,estimate_two_way_range_bls_lm,False,DEFAULT_6STATE_ESTIMATOR,False,posterior_covariance = _safe_covariance_from_information(posterior_information)
lunar_od/estimators.py,2569,_safe_covariance_from_information,CALL,estimate_two_way_range_srif,True,K_AUGMENTED_SRIF,True,cov_scaled = _safe_covariance_from_information(info_scaled)
lunar_od/estimators.py,2588,_safe_covariance_from_information,CALL,estimate_two_way_range_srif,False,DEFAULT_6STATE_ESTIMATOR,False,posterior_covariance = _safe_covariance_from_information(posterior_information)
lunar_od/estimators.py,2589,_sqrt_information_from_information,CALL,estimate_two_way_range_srif,False,DEFAULT_6STATE_ESTIMATOR,False,posterior_sqrt_information = _sqrt_information_from_information(posterior_information)
lunar_od/scenarios.py,1665,_safe_covariance_from_information,CALL,_covariance_from_sqrt_information,False,OTHER_ESTIMATOR_PATH_duplicate_helper_in_scenarios,False,return _safe_covariance_from_information(info)
lunar_od/scenarios.py,1702,_safe_covariance_from_information,DEFINITION,_safe_covariance_from_information,False,OTHER_ESTIMATOR_PATH_duplicate_helper_in_scenarios,False,def _safe_covariance_from_information(information: np.ndarray) -> np.ndarray:
tests/test_estimators.py,47,_safe_covariance_from_information,CALL,test_posterior_covariance_rejects_nonfinite_information,False,TEST_UTILITY,False,estimator_helpers._safe_covariance_from_information(information)
tests/test_k_srp_bls_solve_for.py,209,_safe_covariance_from_information,CALL,test_k_scale_choice_does_not_change_the_physical_estimate,False,TEST_UTILITY,False,shared _safe_covariance_from_information eigenvalue floor (max_eig*1e-14)
tests/test_r1_covariance_observability_parity.py,681,_safe_covariance_from_information,CALL,test_nonfinite_inputs_fail_before_decomposition,False,TEST_UTILITY,False,estimators._safe_covariance_from_information(bad)
examples/phase17_r1cov_core.py,169,_safe_covariance_from_information,CALL,floored_covariance,False,ANALYSIS_ONLY_CALLER,False,from lunar_od.estimators import _safe_covariance_from_information
examples/phase17_r1cov_core.py,176,_safe_covariance_from_information,CALL,floored_covariance,False,ANALYSIS_ONLY_CALLER,False,cov = scale @ _safe_covariance_from_information(info_scaled) @ scale.T
examples/phase17_r1cov_d_srif.py,9,_sqrt_information_from_information,CALL,<module>,False,ANALYSIS_ONLY_CALLER,False,_sqrt_information_from_information(information):
examples/phase17_r1cov_d_srif.py,90,_sqrt_information_from_information,CALL,shipped_sqrt_information_covariance,False,ANALYSIS_ONLY_CALLER,False,from lunar_od.estimators import _sqrt_information_from_information
examples/phase17_r1cov_d_srif.py,96,_sqrt_information_from_information,CALL,shipped_sqrt_information_covariance,False,ANALYSIS_ONLY_CALLER,False,r = _sqrt_information_from_information(info_scaled)
examples/phase17_r1cov_d_srif.py,232,_safe_covariance_from_information,CALL,main,False,ANALYSIS_ONLY_CALLER,False,"touches_floor = (""_safe_covariance_from_information"" in src"
examples/phase17_r1cov_d_srif.py,233,_sqrt_information_from_information,CALL,main,False,ANALYSIS_ONLY_CALLER,False,"or ""_sqrt_information_from_information"" in src)"
examples/phase17_r1cov_f_callsites.py,19,_safe_covariance_from_information,CALL,<module>,False,ANALYSIS_ONLY_CALLER,False,"HELPERS = (""_safe_covariance_from_information"", ""_sqrt_information_from_information"")"
examples/phase17_r1cov_f_callsites.py,19,_sqrt_information_from_information,CALL,<module>,False,ANALYSIS_ONLY_CALLER,False,"HELPERS = (""_safe_covariance_from_information"", ""_sqrt_information_from_information"")"
examples/phase17_r1cov_f_callsites.py,119,_safe_covariance_from_information,CALL,main,False,ANALYSIS_ONLY_CALLER,False,"print(""  _safe_covariance_from_information. It is a separate definition on a"")"
examples/phase17_r1m_covariance_diagnostic.py,12,_safe_covariance_from_information,CALL,<module>,False,ANALYSIS_ONLY_CALLER,False,`_safe_covariance_from_information`.
examples/phase17_r1m_covariance_diagnostic.py,79,_safe_covariance_from_information,CALL,main,False,ANALYSIS_ONLY_CALLER,False,"_safe_covariance_from_information, _two_way_range_bias_prior_and_scale,"
examples/phase17_r1m_covariance_diagnostic.py,106,_safe_covariance_from_information,CALL,main,False,ANALYSIS_ONLY_CALLER,False,cov_est = s @ _safe_covariance_from_information(info) @ s.T
examples/phase17_r1m_covariance_diagnostic.py,189,_safe_covariance_from_information,CALL,main,False,ANALYSIS_ONLY_CALLER,False,cov_k = s_k @ _safe_covariance_from_information(info_k) @ s_k.T
