case,digits,sigma_k,exact_sigma_k,relative_to_exact
G0,50,0.9040175567875425,0.9040175567875425,0.0
G0,80,0.9040175567875425,0.9040175567875425,0.0
G0,120,0.9040175567875425,0.9040175567875425,0.0
G0,200,0.9040175567875425,0.9040175567875425,0.0
G1,50,0.019394564345072467,0.019394564345072467,0.0
G1,80,0.019394564345072467,0.019394564345072467,0.0
G1,120,0.019394564345072467,0.019394564345072467,0.0
G1,200,0.019394564345072467,0.019394564345072467,0.0
G3,50,0.005329810001976547,0.005329810001976547,0.0
G3,80,0.005329810001976547,0.005329810001976547,0.0
G3,120,0.005329810001976547,0.005329810001976547,0.0
G3,200,0.005329810001976547,0.005329810001976547,0.0
