case,prior_sigma_k,qualified_sigma_k,floored_sigma_k,exact_sigma_k
G0,0.0001,9.999999938819044e-05,9.999999938819042e-05,9.999999938819042e-05
G0,0.00017782794100389227,0.00017782793756343425,0.0001778279375634341,0.00017782793756343425
G0,0.00031622776601683794,0.00031622774666972196,0.0003162277466697215,0.00031622774666972196
G0,0.0005623413251903491,0.0005623412163935426,0.0005623412163935401,0.0005623412163935425
G0,0.001,0.0009999993881909795,0.0009999993881909688,0.0009999993881909795
G0,0.0017782794100389228,0.0017782759695907965,0.0017782759695906534,0.0017782759695907963
G0,0.0031622776601683794,0.0031622583132281962,0.0031622583132280137,0.0031622583132281954
G0,0.005623413251903491,0.0056233044582225,0.0034688695056067412,0.005623304458222498
G0,0.01,0.009999388246558948,0.0034688695056067638,0.009999388246558948
G0,0.01778279410038923,0.01777935464040071,0.003468869505606771,0.01777935464040071
G0,0.03162277660168379,0.03160344722099312,0.003468869505606773,0.03160344722099311
G0,0.05623413251903491,0.056125650401911094,0.003468869505606773,0.05612565040191104
G0,0.1,0.09939374843703863,0.0034688695056067755,0.09939374843703845
G0,0.1778279410038923,0.1744842131503066,0.0034688695056067755,0.17448421315030557
G0,0.31622776601683794,0.29849257946963503,0.0034688695056067755,0.2984925794696299
G0,0.5623413251903491,0.4774971618243809,0.0034688695056067755,0.4774971618243602
G0,1.0,0.6706096457816172,0.0034688695056067755,0.67060964578156
G0,1.7782794100389228,0.8058630148530952,0.0034688695056067755,0.8058630148529959
G0,3.1622776601683795,0.8691975165199901,0.0034688695056067755,0.8691975165198654
G0,5.623413251903491,0.8925576552836841,0.0034688695056067755,0.8925576552835491
G0,10.0,0.9003460141835381,0.0034688695056067755,0.9003460141833997
G0,17.78279410038923,0.9028516607852829,0.0034688695056067755,0.9028516607851433
G0,31.622776601683793,0.9036483799000621,0.0034688695056067755,0.9036483798999222
G0,56.23413251903491,0.9039007638907165,0.0034688695056067755,0.9039007638905764
G0,100.0,0.9039806187363377,0.0034688695056067755,0.9039806187361975
G1,0.0001,9.999867076646992e-05,9.999867076647855e-05,9.999867076646992e-05
G1,0.00017782794100389227,0.00017782046649668663,0.0001778204664967884,0.00017782046649668663
G1,0.00031622776601683794,0.00031618573950319275,0.00031618573950366373,0.00031618573950319275
G1,0.0005623413251903491,0.000562105094554049,0.0005621050945554004,0.000562105094554049
G1,0.001,0.00099867338450672,0.000998673384519408,0.00099867338450672
G1,0.0017782794100389228,0.0017708512352558492,0.0016448102376949451,0.0017708512352558503
G1,0.0031622776601683794,0.0031210627502784795,0.0016448102376949959,0.0031210627502784847
G1,0.005623413251903491,0.005400965209408489,0.0016448102376950106,0.00540096520940852
G1,0.01,0.008888091825819375,0.0016448102376950167,0.008888091825819507
G1,0.01778279410038923,0.013107164381420514,0.0016448102376950176,0.013107164381420936
G1,0.03162277660168379,0.0165328330133492,0.0016448102376950182,0.01653283301335004
G1,0.05623413251903491,0.0183347470021661,0.0016448102376950182,0.018334747002167254
G1,0.1,0.019039780012731974,0.0016448102376950182,0.019039780012733265
G1,0.1778279410038923,0.019280235282190257,0.0016448102376950182,0.019280235282191596
G1,0.31622776601683794,0.019358190685218105,0.0016448102376950182,0.019358190685219462
G1,0.5623413251903491,0.019383039824693377,0.0016448102376950182,0.01938303982469474
G1,1.0,0.019390917749571558,0.0016448102376950182,0.019390917749572925
G1,1.7782794100389228,0.0193934109679079,0.0016448102376950182,0.019393410967909263
G1,3.1622776601683795,0.019394199592939653,0.0016448102376950182,0.019394199592941017
G1,5.623413251903491,0.01939444899809445,0.0016448102376950182,0.019394448998095816
G1,10.0,0.019394527868931855,0.0016448102376950182,0.01939452786893322
G1,17.78279410038923,0.019394552810280824,0.0016448102376950182,0.01939455281028219
G1,31.622776601683793,0.019394560697447917,0.0016448102376950182,0.01939456069744928
G1,56.23413251903491,0.019394563191591153,0.0016448102376950182,0.019394563191592513
G1,100.0,0.019394563980308692,0.0016448102376950182,0.019394563980310055
G3,0.0001,9.998240327264269e-05,9.998240327258952e-05,9.998240327264269e-05
G3,0.00017782794100389227,0.00017772904377132064,0.00017772904377089167,0.00017772904377132067
G3,0.00031622776601683794,0.0003156726269789859,0.00031567262697823357,0.00031567262697898595
G3,0.0005623413251903491,0.0005592372018658669,0.0005240157111492686,0.000559237201865867
G3,0.001,0.0009828501137832109,0.0005240157111492773,0.0009828501137832113
G3,0.0017782794100389228,0.0016868647664914668,0.00052401571114928,0.0016868647664914696
G3,0.0031622776601683794,0.0027196138452746637,0.000524015711149281,0.0027196138452746767
G3,0.005623413251903491,0.003868377221453808,0.0005240157111492811,0.0038683772214538462
G3,0.01,0.004703461458807314,0.0005240157111492812,0.004703461458807384
G3,0.01778279410038923,0.00510542926476586,0.0005240157111492814,0.005105429264765948
G3,0.03162277660168379,0.005255683960195559,0.0005240157111492814,0.005255683960195655
G3,0.05623413251903491,0.0053060311326152835,0.0005240157111492812,0.005306031132615383
G3,0.1,0.005322255930006534,0.0005240157111492812,0.005322255930006634
G3,0.1778279410038923,0.005327417718113394,0.0005240157111492812,0.005327417718113494
G3,0.31622776601683794,0.005329053146998401,0.0005240157111492812,0.005329053146998501
