case,model,unknowns,observations,index,singular_value,ratio_to_largest,is_k_dominant_mode
G0,single_contiguous,7,82,0,831044108029490.4,1.0,False
G0,single_contiguous,7,82,1,19705544589887.965,0.02371179146749777,False
G0,single_contiguous,7,82,2,317565396446.57263,0.00038212820881380167,False
G0,single_contiguous,7,82,3,115124658593.06578,0.0001385301423603625,False
G0,single_contiguous,7,82,4,89251587432.9862,0.00010739693184831416,False
G0,single_contiguous,7,82,5,98598.61736962496,1.1864426498782914e-10,False
G0,single_contiguous,7,82,6,0.00012236191490471468,1.47238773155916e-19,True
G1,single_contiguous,7,144,0,3696310054398489.0,1.0,False
G1,single_contiguous,7,144,1,33373680014659.746,0.009028917900149137,False
G1,single_contiguous,7,144,2,514223990677.0573,0.0001391181970963576,False
G1,single_contiguous,7,144,3,219047862569.41763,5.9261225207219234e-05,False
G1,single_contiguous,7,144,4,151288779232.1176,4.092967770712007e-05,False
G1,single_contiguous,7,144,5,8875034.108806431,2.401052395008213e-09,False
G1,single_contiguous,7,144,6,0.26585200379147694,7.192362109210013e-17,True
G2,single_contiguous,7,215,0,1.1510836350217638e+16,1.0,False
G2,single_contiguous,7,215,1,49269559533255.84,0.004280276257452335,False
G2,single_contiguous,7,215,2,735298659822.5692,6.387882143843238e-05,False
G2,single_contiguous,7,215,3,331244090181.5933,2.8776717877266184e-05,False
G2,single_contiguous,7,215,4,267754903135.9281,2.326111630723215e-05,False
G2,single_contiguous,7,215,5,38607222.945864975,3.35398938628252e-09,False
G2,single_contiguous,7,215,6,0.9355312627911174,8.127396084242212e-17,True
G3,single_contiguous,7,307,0,3.641760487319484e+16,1.0,False
G3,single_contiguous,7,307,1,71659304919150.19,0.001967710539138036,False
G3,single_contiguous,7,307,2,1037516580222.2009,2.8489423833192952e-05,False
G3,single_contiguous,7,307,3,485432965213.3707,1.3329623595610853e-05,False
G3,single_contiguous,7,307,4,461700167962.9163,1.2677938858707057e-05,False
G3,single_contiguous,7,307,5,114551350.22194278,3.1454937967724025e-09,False
G3,single_contiguous,7,307,6,3.520274594981941,9.666408889984518e-17,True
M1,A_independent_arcs,13,118,0,107467313214989.78,1.0,False
M1,A_independent_arcs,13,118,1,106736155192544.19,0.9931964613185881,False
M1,A_independent_arcs,13,118,2,850597095677.3945,0.007914937763222607,False
M1,A_independent_arcs,13,118,3,832710971976.4872,0.0077485046109847175,False
M1,A_independent_arcs,13,118,4,113155682609.80829,0.0010529311585508688,False
M1,A_independent_arcs,13,118,5,112866052447.56184,0.0010502361050170838,False
M1,A_independent_arcs,13,118,6,64294737918.04166,0.000598272497884256,False
M1,A_independent_arcs,13,118,7,63526304823.45404,0.0005911221088813193,False
M1,A_independent_arcs,13,118,8,678033097.6613106,6.309203025341263e-06,False
M1,A_independent_arcs,13,118,9,652438268.6270014,6.071039175621615e-06,False
M1,A_independent_arcs,13,118,10,320.88281667854244,2.98586432543086e-12,False
M1,A_independent_arcs,13,118,11,273.5037423227152,2.5449946978349346e-12,False
M1,A_independent_arcs,13,118,12,2.628565496870755e-07,2.4459209207289614e-21,True
M1,B_continuity_linked,7,118,0,6925201236196770.0,1.0,False
M1,B_continuity_linked,7,118,1,29179384596203.793,0.0042135071026800554,False
M1,B_continuity_linked,7,118,2,317476358918.9127,4.5843629389355705e-05,False
M1,B_continuity_linked,7,118,3,170373210421.45117,2.4601914747392657e-05,False
M1,B_continuity_linked,7,118,4,51794421738.69361,7.479121540609328e-06,False
M1,B_continuity_linked,7,118,5,36503571.77055775,5.271120726392787e-09,False
M1,B_continuity_linked,7,118,6,0.34785952645888024,5.023096291277164e-17,True
M2,A_independent_arcs,19,177,0,107987692478241.77,1.0,False
M2,A_independent_arcs,19,177,1,107467313214989.81,0.9951811243363978,False
M2,A_independent_arcs,19,177,2,106736155192544.17,0.9884103710619637,False
M2,A_independent_arcs,19,177,3,850597095677.3944,0.007876796662256484,False
M2,A_independent_arcs,19,177,4,843314986874.2905,0.0078093620441441365,False
M2,A_independent_arcs,19,177,5,832710971976.4868,0.007711165530685528,False
M2,A_independent_arcs,19,177,6,114159232144.17493,0.0010571503985713617,False
M2,A_independent_arcs,19,177,7,113155682609.80824,0.0010478572142154788,False
M2,A_independent_arcs,19,177,8,112866052447.56288,0.0010451751478095898,False
M2,A_independent_arcs,19,177,9,64294737918.04209,0.000595389497104003,False
M2,A_independent_arcs,19,177,10,63526304823.4532,0.000588273564936606,False
M2,A_independent_arcs,19,177,11,59066230681.73213,0.0005469718754628753,False
M2,A_independent_arcs,19,177,12,678033097.6625621,6.278799760437309e-06,False
M2,A_independent_arcs,19,177,13,657181767.4188232,6.085709883570644e-06,False
M2,A_independent_arcs,19,177,14,652438268.6258208,6.041783592674501e-06,False
M2,A_independent_arcs,19,177,15,320.8827458403946,2.9714751605146916e-12,False
