case,model,elapsed_orbits,observations,conditional_k_information,sigma_k_data_only,sigma_k_over_k_truth
G0,single_contiguous,1.3,82,1.2236191639436673,0.9040175567874609,90.40175567874608
G1,single_contiguous,2.0,144,2658.5200669606706,0.019394564345072144,1.9394564345072143
G2,single_contiguous,3.0,215,9355.312756909063,0.010338816911098472,1.0338816911098472
G3,single_contiguous,5.0,307,35202.7462390186,0.005329810001976715,0.5329810001976715
M1,A_independent_arcs,2.5,118,0.0026285628927907173,19.504769109158264,1950.4769109158265
M1,B_continuity_linked,2.5,118,3478.5953370239395,0.016955009785672943,1.6955009785672943
M2,A_independent_arcs,5.5,177,0.00400645999867541,15.79863605148866,1579.863605148866
M2,B_continuity_linked,5.5,177,36587.60475458649,0.00522796908253398,0.522796908253398
M3,A_independent_arcs,5.5,295,0.006477954837408317,12.424560696913451,1242.456069691345
M3,B_continuity_linked,5.5,295,49026.504043072375,0.004516318244004293,0.4516318244004293
