noise_nrad,sigma_angle_rad,ddor_observations,mean_baseline_perp_m,range_only_conditional_k,combined_conditional_k,range_only_f_perp,combined_f_perp,range_only_theta_k_deg,combined_theta_k_deg,range_only_sigma_k,combined_sigma_k,combined_fractional_sigma_k,combined_rank,combined_weakest_k_component,information_gain_ratio,f_perp_gain
1.0,1e-09,143,10413121.584076421,1162817.0907819087,66752593.26606807,0.2522919965229832,0.44190102061139763,14.613182283011557,26.225236769733115,0.0009273513250655349,0.00012239563473411628,0.012239563473411628,6,0.9999999999947731,57.405927204924275,0.18960902408841446
2.0,2e-09,143,10413121.584076421,1162817.0907819087,17873809.611746132,0.2522919965229832,0.4245601526030971,14.613182283011557,25.122825684433877,0.0009273513250655349,0.00023653283449621282,0.023653283449621282,6,0.9999999999938307,15.371127371139096,0.17226815608011392
3.0,3.0000000000000004e-09,143,10413121.584076421,1162817.0907819087,8804095.014057271,0.2522919965229832,0.4029586393770177,14.613182283011557,23.76326808630222,0.0009273513250655349,0.00033702152513135714,0.033702152513135714,6,0.9999999999921536,7.571349857041718,0.15066664285403453
5.0,5e-09,143,10413121.584076421,1162817.0907819087,4119143.7280133916,0.2522919965229832,0.36328521665697694,14.613182283011557,21.30209004731933,0.0009273513250655349,0.0004927158430502491,0.04927158430502491,6,0.9999999999865599,3.542383200821009,0.11099322013399376
10.0,1e-08,143,10413121.584076421,1162817.0907819087,2049651.7061100905,0.2522919965229832,0.30872937568383724,14.613182283011557,17.98267345051587,0.0009273513250655349,0.0006984896347954575,0.06984896347954575,6,0.9999999999671165,1.7626604582599066,0.05643737916085406
20.0,2e-08,143,10413121.584076421,1162817.0907819087,1466040.1929376835,0.2522919965229832,0.27721222272751334,14.613182283011557,16.093891677058714,0.0009273513250655349,0.0008258992304698735,0.08258992304698735,6,0.9999999999437189,1.2607659489695664,0.02492022620453016
30.0,3.0000000000000004e-08,143,10413121.584076421,1162817.0907819087,1347453.090208577,0.2522919965229832,0.26895072161090766,14.613182283011557,15.601838219864668,0.0009273513250655349,0.0008614759796879455,0.08614759796879455,6,0.9999999999355239,1.1587833554308307,0.016658725087924486
50.0,5.0000000000000004e-08,143,10413121.584076421,1162817.0907819087,1284602.582735544,0.2522919965229832,0.26424037045604276,14.613182283011557,15.32182038139477,0.0009273513250655349,0.0008822986294061768,0.08822986294061767,6,0.999999999930431,1.104733145839595,0.011948373933059586
100.0,1.0000000000000001e-07,143,10413121.584076421,1162817.0907819087,1257575.932333522,0.2522919965229832,0.26213838178735743,14.613182283011557,15.196984067604097,0.0009273513250655349,0.000891729001653579,0.08917290016535791,6,0.9999999999280389,1.0814907540513488,0.009846385264374258
300.0,3.0000000000000004e-07,143,10413121.584076421,1162817.0907819087,1249469.207432315,0.2522919965229832,0.26149766758286974,14.613182283011557,15.15894701013283,0.0009273513250655349,0.0008946171536226412,0.08946171536226412,6,0.9999999999270663,1.0745191288787639,0.009205671059886567
