case,t_h,R,T,N,nu
G1_b00,0.0,0.0,0.0,0.0,0.0
G1_b00,0.1,0.0,0.0,0.0,0.0
G1_b00,0.2,0.0,0.0,0.0,0.0
G1_b00,0.3,0.0,0.0,0.0,0.0
G1_b00,0.4,1.3281923695742837,-4.4371486475261035,-0.0013068423237881006,1.0
G1_b00,0.5,-0.13513980519918892,-4.629723137796096,-0.0016335675874333303,1.0
G1_b00,0.6,-1.584851621624095,-4.352132456271603,-0.001960298506897651,1.0
G1_b00,0.7,-2.873706499042234,-3.6324644070293326,-0.00228703227022858,1.0
G1_b00,0.8,-3.870730773381433,-2.54372515876507,-0.0026137648603321863,1.0
G1_b00,0.9,-4.474545613123642,-1.1964752024821745,-0.0029404915828116236,1.0
G1_b00,1.0,-4.623724751738296,0.2723836588424914,-0.003267207726923257,1.0
G1_b00,1.1,-4.303090272322946,1.7135464018806112,-0.0035939092734237764,1.0
G1_b00,1.2,-3.5452706454606306,2.9805345306921596,-0.003920593551995319,1.0
G1_b00,1.3,-2.427351876067325,3.9446308647022796,-0.004247259754175961,1.0
G1_b00,1.4,-1.0629844192660984,4.507968129813653,-0.004573909225170349,1.0
G1_b00,1.5,0.40921287047794597,4.613436348986508,-0.0049005454858914175,1.0
G1_b00,1.6,0.0,0.0,0.0,0.0
G1_b00,1.7,0.0,0.0,0.0,0.0
G1_b00,1.8,0.0,0.0,0.0,0.0
G1_b00,1.9,0.0,0.0,0.0,0.0
G1_b00,2.0,0.0,0.0,0.0,0.0
G1_b00,2.1,0.0,0.0,0.0,0.0
G1_b00,2.2,0.0,0.0,0.0,0.0
G1_b00,2.3,0.0,0.0,0.0,0.0
G1_b00,2.4,0.7974798496760671,-4.562242098086637,-0.007840654372719724,1.0
G1_b00,2.5,-0.6782932356674446,-4.5815015687237866,-0.008167422878295475,1.0
G1_b00,2.6,-2.0852900322514762,-4.135456309540709,-0.00849419266411806,1.0
G1_b00,2.7,-3.2805844044224197,-3.269303506361916,-0.008820953056938094,1.0
G1_b00,2.8,-4.142683063154241,-2.0709479943008136,-0.009147693455376556,1.0
G1_b00,2.9,-4.5839091729350505,-0.6621157473233946,-0.009474404554318312,1.0
G1_b00,3.0,-4.55937173827832,0.8140113729955435,-0.009801079499000885,1.0
G1_b00,3.1,-4.071570408478201,2.2073869905438244,-0.010127714825446527,1.0
G1_b00,3.2,-3.1701385847222117,3.376407351129385,-0.010454311061551706,1.0
G1_b00,3.3,-1.9467527493759675,4.202338273025912,-0.010780872901209574,1.0
G1_b00,3.4,-0.5257568119132747,4.601371013516328,-0.011107408914918383,1.0
G1_b00,3.5,0.9485075068625685,4.5330892900924855,-0.011433930813548782,1.0
G1_b00,3.6,0.0,0.0,0.0,0.0
G1_b00,3.7,0.0,0.0,0.0,0.0
G1_b00,3.8,0.0,0.0,0.0,0.0
G1_b00,3.9,0.0,0.0,0.0,0.0
G1_b00,4.0,0.0,0.0,0.0,0.0
G1_b00,4.1,0.0,0.0,0.0,0.0
G1_b00,4.2,0.0,0.0,0.0,0.0
G1_b00,4.3,0.0,0.0,0.0,0.0
G1_b00,4.4,0.2557623623457692,-4.624079145124805,-0.014373814905475955,1.0
G1_b00,4.5,-1.2119946593974098,-4.469764322231018,-0.014700626471166664,1.0
G1_b00,4.6,-2.5567696289742146,-3.86145392253206,-0.015027429156754413,1.0
G1_b00,4.7,-3.6419282221498204,-2.860833674123093,-0.015354205131415527,1.0
G1_b00,4.8,-4.357147196273872,-1.5694924577754004,-0.015680938439843747,1.0
G1_b00,4.9,-4.629674967224834,-0.11863237517370723,-0.016007616799447438,1.0
G1_b00,5.0,-4.431782791880269,1.3442776605932687,-0.01633423307890187,1.0
G1_b00,5.1,-3.7836107049713803,2.670540120264649,-0.01666078627489752,1.0
G1_b00,5.2,-2.7510997356881552,3.725395203552797,-0.016987281855890275,1.0
G1_b00,5.3,-1.4392347852787646,4.401736309247846,-0.017313731415785426,1.0
G1_b00,5.4,0.01867785611397236,4.63096713801055,-0.01764015166088721,1.0
G1_b00,5.5,1.4745751811465921,4.389915693105194,-0.01796656282497747,1.0
G1_b00,5.6,0.0,0.0,0.0,0.0
G1_b00,5.7,0.0,0.0,0.0,0.0
G1_b00,5.8,0.0,0.0,0.0,0.0
G1_b00,5.9,0.0,0.0,0.0,0.0
G1_b00,6.0,0.0,0.0,0.0,0.0
G1_b00,6.1,0.0,0.0,0.0,0.0
G1_b00,6.2,0.0,0.0,0.0,0.0
G1_b00,6.3,1.179237414817949,-4.478177250207169,-0.020579492413327884,1.0
G1_b00,6.4,-0.2894472819919214,-4.621805650958555,-0.020906342624525745,1.0
G1_b00,6.5,-1.7288416503106423,-4.296063484799147,-0.02123319385481471,1.0
G1_b00,6.6,-2.992749540838372,-3.5339287087440323,-0.021560020540244446,1.0
G1_b00,6.7,-3.952724614246362,-2.412726025025286,-0.021886798698484203,1.0
G1_b00,6.8,-4.511149846575143,-1.046322126525668,-0.022213508495272972,1.0
G1_b00,6.9,-4.611214649447421,0.4264280446208468,-0.022540136464111255,1.0
G1_b00,7.0,-4.242739103348125,1.8558223996020735,-0.02286667712210188,1.0
G1_b00,7.1,-3.4432189860672704,3.0965829459649465,-0.02319313377977543,1.0
G1_b00,7.2,-2.2939780672153716,4.022665520551411,-0.023519518432749315,1.0
G1_b00,7.3,-0.911843858100972,4.540071640878829,-0.023845850731319347,1.0
G1_b00,7.4,0.5627679727444309,4.596359077574689,-0.024172156127557822,1.0
G1_b00,7.5,0.0,0.0,0.0,0.0
G1_b00,7.6,0.0,0.0,0.0,0.0
G1_b00,7.7,0.0,0.0,0.0,0.0
G1_b00,7.8,0.0,0.0,0.0,0.0
G1_b00,7.9,0.0,0.0,0.0,0.0
G1_b00,8.0,0.0,0.0,0.0,0.0
G0_consistent,0.0,0.0,0.0,0.0,0.0
G0_consistent,0.1,0.0,0.0,0.0,0.0
G0_consistent,0.2,0.0,0.0,0.0,0.0
G0_consistent,0.3,0.0,0.0,0.0,0.0
G0_consistent,0.4,0.7233689718153926,-4.238885679222666,-1.7207871687179659,1.0
G0_consistent,0.5,-0.6339395849251772,-4.25330162989686,-1.7205414530062761,1.0
G0_consistent,0.6,-1.9305728841685261,-3.8427276705743267,-1.7202408788349917,1.0
G0_consistent,0.7,-3.0368277932706964,-3.0450815580614967,-1.7199377437760255,1.0
G0_consistent,0.8,-3.8397036818821397,-1.9371246964651425,-1.719685318415933,1.0
G0_consistent,0.9,-4.254589513652345,-0.628330340776887,-1.719516434554555,1.0
G0_consistent,1.0,-4.235032783608818,0.7490003206203825,-1.7194293860428278,1.0
G0_consistent,1.1,-3.779165815967156,2.0528829715931036,-1.719387397112324,1.0
G0_consistent,1.2,-2.931459581143571,3.1468778651876996,-1.7193327975762012,1.0
G0_consistent,1.3,-1.778972414957273,3.915557225398991,-1.7192106852013849,1.0
G0_consistent,1.4,-0.4421321585478445,4.277987293566114,-1.7189921859848853,1.0
G0_consistent,1.5,0.9388715561512802,4.197116656546989,-1.7186870836017463,1.0
G0_consistent,1.6,0.0,0.0,0.0,0.0
G0_consistent,1.7,0.0,0.0,0.0,0.0
G0_consistent,1.8,0.0,0.0,0.0,0.0
G0_consistent,1.9,0.0,0.0,0.0,0.0
G0_consistent,2.0,0.0,0.0,0.0,0.0
G0_consistent,2.1,0.0,0.0,0.0,0.0
G0_consistent,2.2,0.0,0.0,0.0,0.0
G0_consistent,2.3,1.5510339371804198,-4.007601448751795,-1.715777796194057,0.9990772795349064
G0_consistent,2.4,0.22584928316667557,-4.2954098273797605,-1.7171680679095338,1.0
G0_consistent,2.5,-1.1251304559533502,-4.151717563547891,-1.7168958885897032,1.0
G0_consistent,2.6,-2.366555588654766,-3.5921185964881905,-1.7165868087524954,1.0
G0_consistent,2.7,-3.3734036087253036,-2.6692986170567163,-1.7162961210174896,1.0
G0_consistent,2.8,-4.041796115718593,-1.4729868279699572,-1.716071782255285,1.0
G0_consistent,2.9,-4.300142235952515,-0.12242285349095258,-1.7159347828093336,1.0
G0_consistent,3.0,-4.117849914451161,1.2448212032356665,-1.715869586407468,1.0
G0_consistent,3.1,-3.510172968937446,2.4869314837353076,-1.7158292828864499,1.0
G0_consistent,3.2,-2.537997389314821,3.473416595363467,-1.715754228644127,1.0
G0_consistent,3.3,-1.302018463699298,4.100114031471707,-1.7155968514471103,1.0
G0_consistent,3.4,0.0682739986385551,4.3013908031932075,-1.7153420053629294,1.0
G0_consistent,3.5,1.4293643777734903,4.057614016376913,-1.7150138336092093,1.0
G0_consistent,3.6,0.0,0.0,0.0,0.0
G0_consistent,3.7,0.0,0.0,0.0,0.0
G0_consistent,3.8,0.0,0.0,0.0,0.0
G0_consistent,3.9,0.0,0.0,0.0,0.0
G0_consistent,4.0,0.0,0.0,0.0,0.0
G0_consistent,4.1,0.0,0.0,0.0,0.0
G0_consistent,4.2,0.0,0.0,0.0,0.0
G0_consistent,4.3,1.076273519241234,-4.165617380380325,-1.7137479409261194,1.0
G0_consistent,4.4,-0.2752720868620518,-4.293707451404654,-1.7135206009622646,1.0
G0_consistent,4.5,-1.601689096145204,-3.9934288115573224,-1.7132277942628384,1.0
G0_consistent,4.6,-2.77084724548373,-3.2918825533324307,-1.712918114745549,1.0
G0_consistent,4.7,-3.6640736784724117,-2.2560267813138606,-1.7126467523264244,1.0
G0_consistent,4.8,-4.188137791009788,-0.9875468363184803,-1.7124535393791325,1.0
G0_consistent,4.9,-4.285669516542135,0.3860639806704494,-1.7123462429340857,1.0
G0_consistent,5.0,-3.942614907071165,1.723879664086383,-1.7122962163116808,1.0
G0_consistent,5.1,-3.191336505296104,2.886382980030382,-1.7122490715597494,1.0
G0_consistent,5.2,-2.1083531048447037,3.751087597594501,-1.7121467423071768,1.0
G0_consistent,5.3,-0.8064997778685741,4.226773177570434,-1.7119519085016315,1.0
G0_consistent,5.4,0.5776872873762008,4.264137905249573,-1.711664143927071,1.0
G0_consistent,5.5,0.0,0.0,0.0,0.0
G0_consistent,5.6,0.0,0.0,0.0,0.0
G0_consistent,5.7,0.0,0.0,0.0,0.0
G0_consistent,5.8,0.0,0.0,0.0,0.0
G0_consistent,5.9,0.0,0.0,0.0,0.0
G0_consistent,6.0,0.0,0.0,0.0,0.0
G0_consistent,6.1,0.0,0.0,0.0,0.0
G0_consistent,6.2,0.0,0.0,0.0,0.0
G0_consistent,6.3,0.5850992358518502,-4.263617756479042,-1.7101035708193362,1.0
G0_consistent,6.4,-0.7732594119080232,-4.233663992686726,-1.7098465668099538,1.0
G0_consistent,6.5,-2.05710959532877,-3.7803909166366356,-1.7095400716450246,1.0
G0_consistent,6.6,-3.1377927971047574,-2.945923290311242,-1.709237691282498,1.0
G0_consistent,6.7,-3.9046214447414656,-1.810808202417894,-1.7089913780968773,1.0
G0_consistent,6.8,-4.2764421061713165,-0.48748534345850836,-1.7088304423787786,1.0
G0_consistent,6.9,-4.211136818346142,0.8899766829678316,-1.7087487890986963,1.0
G0_consistent,7.0,-3.711629608351445,2.1793204667091257,-1.708706172223141,1.0
G0_consistent,7.1,-2.827098608264057,3.2454622853383484,-1.7086438767216483,1.0
G0_consistent,7.2,-1.64863564704722,3.9758739818298,-1.7085089136683382,1.0
G0_consistent,7.3,-0.2994974949698222,4.2937431044631404,-1.7082765363173915,1.0
G0_consistent,7.4,1.078868100591364,4.1668457683237605,-1.7079611398534194,1.0
G0_consistent,7.5,0.0,0.0,0.0,0.0
G0_consistent,7.6,0.0,0.0,0.0,0.0
G0_consistent,7.7,0.0,0.0,0.0,0.0
G0_consistent,7.8,0.0,0.0,0.0,0.0
G0_consistent,7.9,0.0,0.0,0.0,0.0
G0_consistent,8.0,0.0,0.0,0.0,0.0
G1_b88,0.0,-0.16158833765141556,0.00034425596797638515,-4.6289407031116205,1.0
G1_b88,0.1,-0.15358304663768108,0.051279621139721225,-4.628916186502239,1.0
G1_b88,0.2,-0.1299129855976369,0.09720298626155383,-4.6288910458205645,1.0
